SPY,,,GOVT,,,EEMV,,,CME,,,BR,,,CBOE,,,ICE,,,ACN,,
Date,Adj Close,,Date,Adj Close,,Date,Adj Close,,Date,Adj Close,,Date,Adj Close,,Date,Adj Close,,Date,Adj Close,,Date,Adj Close,
6/1/2016,196.441483,,6/1/2016,24.163347,,6/1/2016,45.98497,,6/1/2016,86.451241,,6/1/2016,60.430473,,6/1/2016,60.833519,,6/1/2016,49.776802,,6/1/2016,111.997787,
6/30/2016,196.7211,,6/30/2016,24.709517,,6/29/2016,47.467243,,6/30/2016,86.453308,,6/30/2016,61.688351,,6/30/2016,64.095032,,6/30/2016,48.134892,,6/30/2016,106.614815,
7/1/2016,197.134354,,7/1/2016,24.794363,,7/1/2016,48.163784,,7/1/2016,85.503548,,7/1/2016,61.849213,,7/1/2016,63.373459,,7/1/2016,47.529343,,7/1/2016,106.831261,
7/29/2016,203.895813,,7/29/2016,24.822651,,7/29/2016,49.306118,,7/29/2016,90.749321,,7/29/2016,64.03479,,7/29/2016,66.192421,,7/29/2016,49.684467,,7/29/2016,106.163086,
8/1/2016,203.726791,,8/1/2016,24.737705,,8/1/2016,49.296833,,8/1/2016,91.503784,,8/1/2016,64.905251,,8/1/2016,65.826805,,8/1/2016,49.765331,,8/1/2016,106.228966,
8/31/2016,204.139938,,8/31/2016,24.643322,,8/31/2016,49.473293,,8/31/2016,96.172638,,8/31/2016,65.567543,,8/31/2016,66.32663,,8/31/2016,53.035629,,8/31/2016,108.224068,
9/1/2016,204.149368,,9/1/2016,24.680178,,9/1/2016,49.705475,,9/1/2016,96.483284,,9/1/2016,66.371765,,9/1/2016,66.577675,,9/1/2016,53.473804,,9/1/2016,108.280533,
9/30/2016,204.151794,,9/30/2016,24.642374,,9/30/2016,50.206989,,9/30/2016,93.292801,,9/30/2016,64.442886,,9/30/2016,62.618736,,9/30/2016,51.430908,,9/30/2016,114.971596,
10/3/2016,203.661026,,10/3/2016,24.612108,,10/3/2016,50.411304,,10/3/2016,92.891144,,10/3/2016,64.243263,,10/3/2016,63.497421,,10/3/2016,51.108219,,10/3/2016,113.738785,
10/31/2016,200.612442,,10/31/2016,24.375633,,10/31/2016,49.064655,,10/31/2016,89.347588,,10/31/2016,61.467434,,10/31/2016,61.035172,,10/31/2016,51.627575,,10/31/2016,110.528915,
11/1/2016,199.15892,,11/1/2016,24.374689,,11/1/2016,48.8139,,11/1/2016,88.936996,,11/1/2016,60.963589,,11/1/2016,60.938602,,11/1/2016,50.226097,,11/1/2016,110.433838,
11/30/2016,208.00267,,11/30/2016,23.664469,,11/30/2016,46.640671,,11/30/2016,100.781593,,11/30/2016,61.543468,,11/30/2016,66.772026,,11/30/2016,52.889675,,11/30/2016,113.562195,
12/1/2016,207.238159,,12/1/2016,23.61517,,12/1/2016,46.362057,,12/1/2016,102.575676,,12/1/2016,61.020638,,12/1/2016,67.334122,,12/1/2016,53.796623,,12/1/2016,111.879158,
12/30/2016,212.219269,,12/30/2016,23.656994,,12/30/2016,46.101727,,12/30/2016,106.344482,,12/30/2016,63.344334,,12/30/2016,71.607895,,12/30/2016,54.172569,,12/30/2016,111.375198,
1/3/2017,213.842758,,1/3/2017,23.656994,,1/3/2017,46.280823,,1/3/2017,105.468674,,1/3/2017,62.990826,,1/3/2017,70.755089,,1/3/2017,53.980541,,1/3/2017,110.738106,
1/31/2017,216.016876,,1/31/2017,23.732904,,1/31/2017,47.817234,,1/31/2017,111.627151,,1/31/2017,63.564072,,1/31/2017,77.160942,,1/31/2017,56.03529,,1/31/2017,108.275375,
2/1/2017,216.10231,,2/1/2017,23.699663,,2/1/2017,47.807808,,2/1/2017,111.461212,,2/1/2017,62.933514,,2/1/2017,76.027069,,2/1/2017,56.025684,,2/1/2017,107.647789,
